cod_ibge,municipio,regional_saude,macroregiao_saude
5107578,Rondolândia,Pontes e Lacerda,Oeste
5107602,Rondonópolis,Rondonópolis,Sul
5107701,Rosário Oeste,Diamantino,Centro
5107750,Salto do Céu,Cáceres,Oeste
5107248,Santa Carmem,Sinop,Norte
5107743,Santa Cruz do Xingu,Porto Alegre do Norte,Leste
5107768,Santa Rita do Trivelato,Sinop,Norte
5107776,Santa Terezinha,Porto Alegre do Norte,Leste
5107263,Santo Afonso,Tangará da Serra,Noroeste e Médio Norte
5107800,Santo Antônio de Leverger,Baixada Cuiabana,Centro
5107792,Santo Antônio do Leste,Rondonópolis,Sul
5107875,Sapezal,Tangará da Serra,Noroeste e Médio Norte
5107883,Serra Nova Dourada,São Félix do Araguaia,Leste
5107909,Sinop,Sinop,Norte
5107925,Sorriso,Sinop,Norte
5107859,São Félix do Araguaia,São Félix do Araguaia,Leste
5107297,São José do Povo,Rondonópolis,Sul
5107305,São José do Rio Claro,Diamantino,Centro
5107354,São José do Xingu,Porto Alegre do Norte,Leste
5107107,São José dos Quatro Marcos,Cáceres,Oeste
5107404,São Pedro da Cipa,Rondonópolis,Sul
5107941,Tabaporã,Juara,Norte
5107958,Tangará da Serra,Tangará da Serra,Noroeste e Médio Norte
5108006,Tapurah,Sinop,Norte
5108055,Terra Nova do Norte,Peixoto de Azevedo,Norte
5108105,Tesouro,Rondonópolis,Sul
5108204,Torixoréu,Barra do Garças,Leste
5108303,União do Sul,Sinop,Norte
5108352,Vale de São Domingos,Pontes e Lacerda,Oeste
5108501,Vera,Sinop,Norte
5105507,Vila Bela da Santíssima Trindade,Pontes e Lacerda,Oeste
5108600,Vila Rica,Porto Alegre do Norte,Leste
5108402,Várzea Grande,Baixada Cuiabana,Centro
5100201,Água Boa,Água Boa,Leste
