cod_ibge,municipio,regional_saude,nivel,score,alerta_inteligente_nivel,alerta_inteligente_score,probabilidade_escalada_operacional_pct,score_climatico_preditivo,score_assistencial_preditivo,score_ar_preditivo,score_vulnerabilidade,score_saude_sensivel,score_capacidade_protetora,tmax,utci_proxy,risco_cumulativo_3d,tmax_max_7d,utci_proxy_max_7d,risco_cumulativo_3d_max_7d,ocupacao_leitos_pct,pressao_calor_pct,pm25_ugm3,iq_ar_score,indice_vulnerabilidade_calor,indice_capacidade_cnes,eventos_saude_calor,recomendacao_operacional,gerado_em
5104526,Ipiranga do Norte,ERS Sinop,verde,0,verde,19.26,19.3,26.97,9.24,0.0,43.66,34.92,43.74,22.3,22.1,2.973299542433388,31.9,31.340000000000003,5.706012629606169,45.65419474785034,35.26160248175456,8.139766403386977,0,50.563380281690144,43.735224586288425,561,Manter vigilância de rotina.,2026-06-19 10:28:33
5104542,Itanhangá,ERS Sinop,verde,0,verde,16.76,16.8,25.8,8.07,1.22,33.8,19.85,26.95,21.7,21.619999999999997,1.805963127551145,31.3,31.1,5.852037569761688,45.65419474785034,33.96456202077429,10.506578456921249,0,43.66197183098592,26.95035460992908,319,Manter vigilância de rotina.,2026-06-19 10:28:33
5104559,Itaúba,ERS Colíder,amarela,1,verde,17.63,17.6,29.11,10.1,0.0,30.48,20.17,32.68,25.5,25.419999999999998,3.840547192557283,31.6,31.240000000000002,6.986358632363867,45.65419474785034,36.22521098189222,9.839080922551387,0,41.33802816901409,32.68321513002364,324,Manter vigilância de rotina.,2026-06-19 10:28:33
5104609,Itiquira,ERS Rondonópolis,verde,0,verde,14.86,14.9,9.9,32.27,0.0,46.33,12.45,65.37,16.0,15.559999999999999,0.0,30.6,29.520000000000003,0.7028994964200272,61.607142857142854,43.12499999999999,1.8562835541567053,0,52.429577464788736,65.36643026004728,200,Manter vigilância de rotina.,2026-06-19 10:28:33
5104807,Jaciara,ERS Rondonópolis,verde,0,verde,8.49,8.5,5.39,6.26,0.0,50.75,26.89,84.4,16.1,16.02,0.0,28.8,28.24,0.3255680295511283,45.65419474785034,31.957936323495236,4.893133982964524,0,55.528169014084504,84.39716312056737,432,Manter vigilância de rotina.,2026-06-19 10:28:33
5104906,Jangada,ERS Cuiabá,verde,0,verde,10.89,10.9,26.54,0.0,0.0,15.59,7.59,39.54,18.7,18.22,0.5606101261511434,32.2,31.760000000000005,4.891342739146692,15.254237288135593,11.300866241862852,4.027366316256325,0,30.915492957746483,39.53900709219858,122,Manter vigilância de rotina.,2026-06-19 10:28:33
5105002,Jauru,ERS Pontes e Lacerda,verde,0,verde,4.1,4.1,4.5,6.26,0.0,21.58,10.77,57.33,15.6,15.2,0.0,28.3,28.02,0.13037457355948057,45.65419474785034,31.957936323495236,3.749070550739057,0,35.105633802816904,57.328605200945624,173,Manter vigilância de rotina.,2026-06-19 10:28:33
5105101,Juara,ERS Juara,verde,0,verde,18.29,18.3,27.38,0.0,2.19,50.3,55.27,88.95,23.7,23.419999999999998,0.695934661273343,31.3,31.120000000000005,6.5459592069061685,34.10852713178294,24.649229726996218,10.913700165815499,0,55.21126760563379,88.94799054373522,888,Manter vigilância de rotina.,2026-06-19 10:28:33
5105150,Juína,ERS Juína,verde,0,verde,25.42,25.4,23.38,9.13,0.0,79.98,87.57,92.49,22.0,21.84,2.8705968574444363,31.0,31.080000000000005,5.0097633936644765,45.65419474785034,35.14748838732239,7.765115583215648,0,75.98591549295774,92.49408983451536,1407,Manter vigilância de rotina.,2026-06-19 10:28:33
5105176,Juruena,ERS Juína,verde,0,verde,18.82,18.8,25.16,7.96,0.0,54.23,31.37,53.66,25.6,25.44,1.698801242982194,31.3,31.020000000000003,5.640350554599456,45.65419474785034,33.84549326014212,8.040310064797374,0,57.95774647887324,53.664302600472816,504,Manter vigilância de rotina.,2026-06-19 10:28:33
