cod_ibge,sim_obitos_calor_total,gal_positivos_total,gal_testes_total,municipio,regional_saude,populacao_2025,tmax,utci_proxy,risco_cumulativo_3d,pm25_ugm3,score_saude_v9,score_exposicao_v9,score_priorizacao_v9,nivel_priorizacao_v9,tem_modelagem_temporal
5106307,836.0,1.0,14.0,Paranatinga,ERS Rondonópolis,22861,30.114285714285717,29.55428571428572,3.5803490939725053,,60.28169014084507,54.401408450704224,57.64,moderado,0
5106265,188.0,58.0,274.0,Novo Mundo,ERS Peixoto de Azevedo,9363,30.814285714285713,30.654285714285717,6.030183612489066,,44.08450704225352,73.48591549295774,57.32,moderado,0
5106778,325.0,0.0,0.0,Porto Alegre do Norte,ERS Porto Alegre do Norte,12685,33.22857142857143,32.49142857142858,8.893707205937904,,35.49295774647887,83.52112676056338,57.11,moderado,0
5103007,840.0,978.0,7076.0,Chapada dos Guimarães,ERS Cuiabá,19453,27.057142857142857,26.81714285714286,1.5078028608274028,,85.63380281690141,22.077464788732396,57.03,moderado,0
5106752,1873.0,520.0,7962.0,Pontes e Lacerda,ERS Pontes e Lacerda,45774,25.914285714285715,25.62285714285714,1.34916464793219,,91.40845070422536,13.169014084507042,56.2,moderado,0
5102504,4060.0,2475.0,12679.0,Cáceres,ERS Cáceres,94861,24.37142857142857,24.228571428571428,0.8685747543561858,,97.6056338028169,5.211267605633802,56.03,moderado,0
5108808,185.0,32.0,1055.0,Nova Guarita,ERS Colíder,4464,31.114285714285717,30.78857142857143,5.813919665720612,,39.929577464788736,75.28169014084507,55.84,moderado,0
5106158,345.0,28.0,86.0,Nova Bandeirantes,ERS Alta Floresta,15685,29.400000000000002,29.422857142857143,4.511552125708692,,52.67605633802816,58.97887323943661,55.51,moderado,0
5103056,335.0,13.0,86.0,Cláudia,ERS Sinop,12245,29.900000000000002,29.734285714285715,4.75755724068344,,48.732394366197184,63.13380281690141,55.21,moderado,0
5102678,1011.0,1163.0,10355.0,Campo Verde,ERS Rondonópolis,45740,26.314285714285713,26.0,0.6131327543704825,,88.87323943661971,13.18661971830986,54.81,moderado,0
