cod_ibge,cod_ibge_6,municipio_base,municipio_indicasus,LocalidadeId,unidades,ultima_movimentacao,leitos_existentes,leitos_sus,leitos_ocupados,leitos_bloqueados_cadastro,leitos_bloqueados_movimento,leitos_higienizacao,leitos_reservados,movimentos_ativos_dedup,grupos_ocupacao_maior_capacidade,ocupacao_pct_bruta,ocupacao_pct,fonte,data_processamento
5106505,510650,Poconé,Poconé,51.05.3848,1,2026-06-18 13:21:00,44,44,3,0,0,149,0,152,0,6.818181818181818,6.818181818181818,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5107776,510777,Santa Terezinha,Santa Terezinha,51.10.4426,2,2026-06-19 00:00:00,30,30,2,0,0,47,0,49,0,6.666666666666667,6.666666666666667,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106422,510642,Peixoto de Azevedo,Peixoto de Azevedo,51.09.3681,6,2026-06-19 00:00:00,183,81,10,0,0,22,0,32,0,5.46448087431694,5.46448087431694,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5103502,510350,Diamantino,Diamantino,51.06.1536,6,2026-06-18 15:00:00,108,88,3,0,0,67,0,70,0,2.7777777777777777,2.7777777777777777,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106109,510610,Nossa Senhora do Livramento,Nossa Senhora do Livramento,51.05.3245,1,2025-05-27 00:00:00,130,0,3,0,0,0,0,3,0,2.3076923076923075,2.3076923076923075,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5100805,510080,Apiacás,Apiacás,51.02.0274,1,2026-02-14 08:00:00,8,0,0,0,0,3,0,3,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5102694,510269,Canabrava do Norte,Canabrava do Norte,51.10.0987,3,,89,0,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5103353,510335,Confresa,Confresa,51.10.1341,2,,55,43,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106208,510620,Nova Brasilândia,Nova Brasilândia,51.05.3262,1,2025-08-01 00:00:00,14,14,0,0,0,3,0,3,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5106273,510627,Novo Horizonte do Norte,Novo Horizonte do Norte,51.07.3362,2,,79,44,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5107602,510760,Rondonópolis,Rondonópolis,51.11.4220,1,,46,0,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
5108402,510840,Várzea Grande,Várzea Grande,51.05.5390,2,,37,27,0,0,0,0,0,0,0,0.0,0.0,INDICASUS_TEMPO_REAL,2026-06-19 10:23:59
