data,cod_ibge,municipio,pm25_ugm3,pm10_ugm3,o3_ugm3,no2_ugm3,co_mgm3,so2_ugm3,fonte,lat,lon,iq_ar_score,qualidade_ar_nivel,poluente_dominante,motivo_qualidade_ar,indice_qualidade_ar_operacional
2026-06-18,5105580,Marcelândia,11.90720048051182,12.41230503999739,,,,,copernicus_cams,-10.922866,-54.074504,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105606,Matupá,5.951573508532286,6.195978514569714,,,,,copernicus_cams,-9.981211,-54.166947,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105622,Mirassol d'Oeste,3.7164133927154976,3.794712981750212,,,,,copernicus_cams,-15.583645,-58.050654,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5105903,Nobres,4.191714426540597,4.356132415568184,,,,,copernicus_cams,-14.386947,-55.773505,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106000,Nortelândia,7.6349977059585274,7.829536352588207,,,,,copernicus_cams,-14.389835,-56.70363,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106109,Nossa Senhora do Livramento,3.2782891793360553,3.351996592058354,,,,,copernicus_cams,-15.933215,-56.326104,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106158,Nova Bandeirantes,9.179789895550611,9.290769565448981,,,,,copernicus_cams,-9.69717,-57.970153,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106208,Nova Brasilândia,2.623014762908833,2.720246374559816,,,,,copernicus_cams,-14.74322,-55.225403,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106216,Nova Canaã do Norte,8.41242813971335,8.611551994373285,,,,,copernicus_cams,-10.667893,-56.034181,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5108808,Nova Guarita,7.130322136649672,7.309389799308305,,,,,copernicus_cams,-10.285246,-55.316903,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106182,Nova Lacerda,7.189037287038419,7.3032520423389675,,,,,copernicus_cams,-14.400854,-59.739685,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5108857,Nova Marilândia,7.70896374186905,7.900103904390221,,,,,copernicus_cams,-14.294268,-57.285606,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5108907,Nova Maringá,8.750243444854323,8.968955382304035,,,,,copernicus_cams,-12.75792,-57.104383,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5108956,Nova Monte Verde,11.061265001982894,11.254440569028729,,,,,copernicus_cams,-9.927327,-57.285932,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106224,Nova Mutum,6.504975427593586,6.7575761065295215,,,,,copernicus_cams,-13.521903,-56.080832,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106174,Nova Nazaré,2.574811947803395,2.6785934973340337,,,,,copernicus_cams,-14.146385,-51.797613,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106232,Nova Olímpia,6.742835623185783,6.884588076098741,,,,,copernicus_cams,-14.782311,-57.400961,0,verde,—,qualidade do ar em normalidade operacional,0.0
2026-06-18,5106190,Nova Santa Helena,8.182887335048944,8.423513311709364,,,,,copernicus_cams,-10.911639,-55.069095,0,verde,—,qualidade do ar em normalidade operacional,0.0
