cod_ibge,municipio,regional_saude,data_referencia,fila_media_h,tempo_espera_h,solicitacoes_abertas,fonte,atualizado_em
5106422,Peixoto de Azevedo,,2026-08-29,3931.4927269221625,3931.4927269221625,14121,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106455,Planalto da Serra,,2026-08-29,3747.6503150517224,3747.6503150517224,1206,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106505,Poconé,,2026-08-29,4172.110100200642,4172.110100200642,3167,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106653,Pontal do Araguaia,,2026-08-29,3893.265833758287,3893.265833758287,450,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106703,Ponte Branca,,2026-08-29,3601.82881773399,3601.82881773399,86,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106752,Pontes e Lacerda,,2026-08-29,3727.0600682758895,3727.0600682758895,5330,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106778,Porto Alegre do Norte,,2026-08-29,3881.11084236864,3881.11084236864,633,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106802,Porto dos Gaúchos,,2026-08-29,3881.6213823187063,3881.6213823187063,934,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106828,Porto Esperidião,,2026-08-29,4081.398410518249,4081.398410518249,1276,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5106851,Porto Estrela,,2026-08-29,4255.744513457556,4255.744513457556,373,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107040,Primavera do Leste,,2026-08-29,3354.2213461809133,3354.2213461809133,19349,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107065,Querência,,2026-08-29,3732.0438652709536,3732.0438652709536,1092,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107156,Reserva do Cabaçal,,2026-08-29,4316.9912359395485,4316.9912359395485,423,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107180,Ribeirão Cascalheira,,2026-08-29,3382.554262957586,3382.554262957586,739,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107198,Ribeirãozinho,,2026-08-29,3508.5390770872236,3508.5390770872236,209,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107206,Rio Branco,,2026-08-29,3744.132625511582,3744.132625511582,968,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
5107578,Rondolândia,,2026-08-29,4595.869230769231,4595.869230769231,18,SISREG_LIVE:10.15.1.71,2026-08-29T17:08:13
